Extra_runs_ID,Match_Id,Over_Id,Ball_Id,Extra_Type_Id,Extra_Runs,Innings_No
1,335987,1,1,1,1,1
2,335987,1,2,2,1,2
3,335987,1,3,2,1,1
4,335987,1,7,1,1,1
5,335987,2,3,1,4,2
6,335987,3,3,1,1,1
7,335987,3,5,2,1,2
8,335987,4,1,2,5,1
9,335987,4,3,1,1,1
10,335987,4,4,1,1,2
11,335987,7,4,2,1,2
12,335987,7,5,2,1,2
13,335987,8,2,1,1,2
14,335987,9,4,2,1,2
15,335987,9,5,2,1,2
16,335987,10,4,2,1,2
17,335987,10,5,1,1,2
18,335987,11,6,3,4,1
19,335987,13,2,2,2,2
20,335987,13,5,2,1,1
21,335987,15,1,2,1,2
22,335987,15,5,2,2,1
23,335987,15,5,1,1,2
24,335987,16,1,2,1,2
25,335988,2,5,2,1,1
26,335988,3,2,4,1,1
27,335988,5,2,1,1,1
28,335988,6,4,2,1,2
29,335988,6,7,2,1,2
30,335988,7,5,1,1,2
31,335988,9,6,2,1,2
32,335988,13,1,2,1,1
33,335988,13,1,1,1,2
34,335988,13,4,2,1,1
35,335988,13,4,1,1,2
36,335988,14,4,2,2,2
37,335988,14,6,1,1,1
38,335988,16,2,3,1,2
39,335988,17,1,1,1,2
40,335988,18,5,3,1,2
41,335989,1,4,2,1,1
42,335989,2,6,2,1,2
43,335989,6,2,2,1,2
44,335989,6,4,1,1,1
45,335989,8,1,1,1,1
46,335989,8,3,2,1,2
47,335989,9,3,3,1,1
48,335989,10,1,1,1,1
49,335989,10,2,2,1,2
50,335989,13,4,2,2,1
51,335989,13,6,2,5,2
52,335989,15,1,2,1,2
53,335990,2,6,1,4,1
54,335990,3,6,2,1,1
55,335990,5,1,2,1,1
56,335990,5,5,2,1,2
57,335990,9,1,1,1,1
58,335990,9,3,2,1,2
59,335990,10,4,1,1,1
60,335990,14,2,2,1,2
61,335990,14,6,3,1,1
62,335990,14,6,2,1,2
63,335990,16,4,2,1,1
64,335990,17,2,3,1,1
65,335990,20,2,2,1,2
66,335991,1,2,4,1,1
67,335991,2,1,1,1,1
68,335991,2,5,2,1,1
69,335991,2,5,1,4,2
70,335991,2,7,2,1,1
71,335991,3,3,1,1,2
72,335991,7,4,2,5,2
73,335991,8,2,4,1,1
74,335991,9,4,2,1,2
75,335991,10,3,1,1,1
76,335991,10,3,2,1,2
77,335991,10,5,1,1,1
78,335991,12,2,3,4,2
79,335991,12,4,2,1,2
80,335991,12,5,2,5,2
81,335991,12,8,4,1,2
82,335991,13,1,2,1,2
83,335991,13,5,2,1,2
84,335991,14,2,1,1,1
85,335991,15,5,1,1,2
86,335991,16,5,2,1,1
87,335991,17,2,2,1,1
88,335991,18,3,1,1,2
89,335991,19,2,1,1,2
90,335992,1,2,4,1,2
91,335992,2,2,2,1,2
92,335992,2,7,4,1,2
93,335992,3,5,4,1,2
94,335992,4,1,2,1,2
95,335992,4,5,2,1,2
96,335992,5,1,1,1,2
97,335992,6,3,1,1,2
98,335992,8,1,2,1,1
99,335992,8,5,2,1,2
100,335992,8,6,2,1,1
101,335992,8,7,1,1,1
102,335992,12,3,2,1,2
103,335992,14,6,4,1,2
104,335992,18,2,2,1,2
105,335992,20,2,4,1,1
106,335993,1,3,1,1,1
107,335993,6,1,2,1,2
108,335993,9,1,2,1,2
109,335993,10,1,2,1,1
110,335993,12,2,2,2,2
111,335993,12,4,2,2,2
112,335993,12,6,5,5,2
113,335993,14,1,2,1,2
114,335993,16,2,1,1,1
115,335993,20,1,1,1,1
116,335993,20,6,4,1,1
117,335994,1,1,2,1,1
118,335994,1,2,2,1,2
119,335994,1,5,2,1,2
120,335994,2,1,1,4,2
121,335994,3,6,3,4,1
122,335994,4,6,1,1,2
123,335994,6,2,2,1,1
124,335994,6,6,2,1,1
125,335994,7,6,4,1,1
126,335994,8,2,4,1,2
127,335994,9,3,1,1,1
128,335994,10,2,1,1,1
129,335994,11,1,2,1,2
130,335994,11,2,2,1,2
131,335994,11,3,2,1,2
132,335994,12,5,2,5,1
133,335994,13,2,2,1,2
134,335994,16,1,2,1,1
135,335994,19,2,4,1,1
136,335994,20,2,1,1,1
137,335994,20,3,4,1,2
138,335995,2,3,1,2,2
139,335995,4,4,2,1,2
140,335995,6,5,2,1,1
141,335995,11,5,2,1,1
142,335995,15,2,4,1,1
143,335995,15,4,1,1,2
144,335995,18,2,2,1,2
145,335995,19,1,1,1,2
146,335995,19,2,4,1,2
147,335995,19,4,2,1,1
