ID,Match_Id,Team_1,Team_2,Match_Date,Season_Id,Venue_Id,Toss_Winner,Toss_Decide,Win_Type,Win_Margin,Outcome_type,Match_Winner,Man_of_the_Match
1,335987,2,1,18/04/08,1,1,2,1,1,140,1,1,2
2,335988,4,3,19/04/08,1,2,3,2,1,33,1,3,19
3,335989,6,5,19/04/08,1,3,5,2,2,9,1,6,90
4,335990,7,2,20/04/08,1,4,7,2,2,5,1,2,11
5,335991,1,8,20/04/08,1,5,8,2,2,5,1,1,4
6,335992,5,4,21/04/08,1,6,4,2,2,6,1,5,32
7,335993,8,6,22/04/08,1,7,8,2,2,9,1,6,41
8,335994,3,7,23/04/08,1,8,7,1,1,6,1,3,18
9,335995,8,5,24/04/08,1,7,5,1,2,3,1,5,31
10,335996,4,7,25/04/08,1,2,7,1,1,66,1,4,26
11,335997,2,5,26/04/08,1,1,5,1,2,7,1,5,32
12,335998,3,1,26/04/08,1,8,1,2,2,9,1,3,22
13,335999,7,8,27/04/08,1,9,8,1,2,10,1,8,53
14,336000,4,6,27/04/08,1,2,6,2,2,4,1,4,28
15,336001,2,3,28/04/08,1,1,3,2,1,13,1,3,20
16,336002,1,7,29/04/08,1,5,1,2,2,7,1,7,44
17,336003,6,2,30/04/08,1,3,2,1,1,10,1,6,118
18,336004,8,4,01/05/08,1,7,4,1,2,7,1,4,100
19,336005,5,1,01/05/08,1,6,5,2,1,45,1,5,101
20,336006,3,6,02/05/08,1,8,3,2,2,8,1,6,41
21,336007,8,2,25/05/08,1,7,8,2,2,5,1,2,81
22,336008,4,1,03/05/08,1,2,4,2,1,9,1,4,29
23,336009,7,6,04/05/08,1,9,6,1,1,29,1,7,49
24,336010,5,3,04/05/08,1,6,3,2,2,8,1,5,102
25,336011,2,4,05/05/08,1,1,4,1,2,6,1,4,77
26,336012,3,8,06/05/08,1,8,8,1,2,7,1,8,53
27,336013,7,5,07/05/08,1,9,7,1,2,7,1,7,73
28,336014,6,3,08/05/08,1,3,3,1,2,4,1,3,20
29,336015,1,2,08/05/08,1,5,1,2,1,5,1,1,1
30,336016,5,8,09/05/08,1,6,5,1,2,8,1,5,31
31,336017,2,7,28/05/08,1,1,7,1,2,9,1,7,149
32,336018,3,4,10/05/08,1,8,4,1,1,18,1,3,151
33,336019,8,1,11/05/08,1,7,1,2,1,23,1,1,1
34,336020,5,6,11/05/08,1,6,5,1,2,3,1,5,32
35,336021,4,2,12/05/08,1,2,2,2,2,9,1,4,100
36,336022,1,6,13/05/08,1,5,1,2,1,23,1,1,144
37,336023,7,3,14/05/08,1,4,7,1,2,9,1,7,44
38,336024,4,5,28/05/08,1,2,5,1,1,41,1,4,100
39,336025,6,8,15/05/08,1,3,8,1,1,12,1,6,136
40,336026,7,1,16/05/08,1,4,7,1,2,8,1,7,49
41,336027,6,4,17/05/08,1,3,6,2,1,6,1,4,64
42,336028,5,2,17/05/08,1,6,2,1,1,65,1,5,74
43,336029,8,7,18/05/08,1,7,8,1,1,25,1,7,71
44,336030,1,3,18/05/08,1,5,1,2,1,3,1,3,122
45,336031,2,6,19/05/08,1,1,6,1,2,5,1,6,132
46,336032,1,5,20/05/08,1,5,5,1,2,6,1,5,31
47,336033,7,4,21/05/08,1,4,7,1,1,1,1,4,100
48,336034,3,2,21/05/08,1,8,2,2,1,14,1,2,124
49,336036,4,8,23/05/08,1,2,4,1,2,6,1,4,100
50,336037,6,7,24/05/08,1,3,6,1,2,5,1,6,88
51,336038,3,5,24/05/08,1,8,5,2,1,10,1,5,109
