Player_Id,Player_Name,DOB,Batting_hand,Bowling_skill,Country_Name
1,SC Ganguly,08/07/72,1,1,1
2,BB McCullum,27/09/81,2,1,4
3,RT Ponting,19/12/74,2,1,5
4,DJ Hussey,15/07/77,2,2,5
5,Mohammad Hafeez,17/10/80,2,2,6
6,R Dravid,11/01/73,2,2,1
7,W Jaffer,16/02/78,2,2,1
8,V Kohli,05/11/88,2,1,1
9,JH Kallis,16/10/75,2,3,2
10,CL White,18/08/83,2,4,5
11,MV Boucher,03/12/76,2,1,2
12,B Akhil,07/10/77,2,5,1
13,AA Noffke,30/04/77,2,3,5
14,P Kumar,02/10/86,2,1,1
15,Z Khan,07/10/78,2,6,1
16,SB Joshi,06/06/70,1,7,1
17,PA Patel,09/03/85,1,,1
18,ML Hayden,29/10/71,1,1,5
19,MEK Hussey,27/05/75,1,1,5
20,MS Dhoni,07/07/81,2,1,1
21,SK Raina,27/11/86,1,2,1
22,JDP Oram,28/07/78,1,3,4
23,S Badrinath,30/08/80,2,2,1
24,K Goel,24/12/86,1,2,1
25,JR Hopes,24/10/78,2,1,5
26,KC Sangakkara,27/10/77,1,2,7
27,Yuvraj Singh,12/12/81,1,7,1
28,SM Katich,21/08/75,1,8,5
29,IK Pathan,27/10/84,1,9,1
30,T Kohli,17/12/88,2,1,1
31,YK Pathan,17/11/82,2,2,1
32,SR Watson,17/06/81,2,3,5
33,M Kaif,01/12/80,2,2,1
34,DS Lehmann,05/02/70,1,7,5
35,RA Jadeja,06/12/88,1,7,1
36,M Rawat,25/10/85,2,,1
37,D Salunkhe,12/11/82,2,10,1
38,SK Warne,13/09/69,2,4,5
39,SK Trivedi,04/09/82,2,1,1
40,G Gambhir,14/10/81,1,10,1
41,V Sehwag,20/10/78,2,2,1
42,S Dhawan,05/12/85,1,2,1
43,L Ronchi,23/04/81,2,,5
44,ST Jayasuriya,30/06/69,1,7,7
45,DJ Thornely,01/10/78,2,1,5
46,RV Uthappa,11/11/85,2,1,1
47,PR Shah,03/11/87,2,,1
48,AM Nayar,08/10/83,1,1,1
49,SM Pollock,16/07/73,2,3,2
50,Harbhajan Singh,03/07/80,2,2,1
51,S Chanderpaul,16/08/74,1,10,8
52,LRPL Taylor,08/03/84,2,2,4
53,AC Gilchrist,14/11/71,1,2,5
54,Y Venugopal Rao,26/02/82,2,2,1
55,VVS Laxman,01/11/74,2,2,1
56,A Symonds,09/06/75,2,2,5
57,RG Sharma,30/04/87,2,2,1
58,SB Styris,10/07/75,2,1,4
59,SB Bangar,11/10/72,2,5,1
60,WPUJC Vaas,27/01/74,1,6,7
61,RP Singh,06/12/85,2,6,1
62,WP Saha,24/10/84,2,,1
63,LR Shukla,06/05/81,2,1,1
64,DPMD Jayawardene,27/05/77,2,1,7
65,S Sohal,10/11/87,2,10,1
66,B Lee,08/11/76,2,11,5
67,PP Chawla,24/12/88,1,10,1
68,WA Mota,20/09/81,2,1,1
69,Kamran Akmal,13/01/82,2,,6
70,Shahid Afridi,01/03/80,2,4,6
71,DJ Bravo,07/10/83,2,5,8
72,MA Khote,22/04/80,2,1,1
73,A Nehra,29/04/79,2,9,1
74,GC Smith,01/02/81,1,2,2
75,Pankaj Singh,06/05/85,2,5,1
76,RR Sarwan,23/06/80,2,10,8
